transaction_id,product_id,quantity,price,timestamp
T0119,p004,2.0,22.64,10/08/2024
T0120, P 005 ,8.0,18.1,10-10-2024
T0121,P007,3.0,37.57,2024-10-29
T0122, P 013 ,2.0,19.51,25-10-2024
T0123, P 015 ,9.0,47.0,2024-10-07
T0124,P011,3.0,,2024-11-03
T0125,P-004,9.0,41.86,16-10-2024
T0126,p013,2.0,26.85,2024-10-10
T0127,p007,6.0,29.63,10/07/2024
T0128,P-019,6.0,33.57,2024-10-16
T0129,P002,4.0,$11.25,06-10-2024
T0130,P010,9.0,6.24,09-10-2024
T0131,P-013,7.0,28.76,2024-10-11
T0132,p006,5.0,17.99,2024-10-12
T0133, P 012 ,9.0,17.61,2024-10-20
T0134,P012,6.0,20.9,2024-10-30
T0135, P 011 ,5.0,41.94,28-10-2024
T0136, P 007 ,9.0,35.38,10/13/2024
T0137, P 001 ,5.0,,10/12/2024
T0138, P 001 ,6.0,$44.61,07-10-2024
T0139,P-013,7.0,8.59,2024-10-13
T0140,P-009,5.0,42.39,10/18/2024
T0141, P 003 ,8.0,$11.1,25-10-2024
T0142,p007,4.0,46.81,2024-10-08
T0143,P006,5.0,$6.37,14-10-2024
T0144,p008,3.0,27.12,2024-11-01
T0145,P-009,7.0,20.55,2024-11-01
T0146, P 005 ,3.0,36.3,26-10-2024
T0147, P 001 ,3.0,5.06,2024-10-14
T0148,P-019,,$24.57,2024-10-20
T0149,P010,6.0,27.68,2024-10-12
T0150,P012,4.0,41.93,2024-10-15
T0151,p015,8.0,$24.13,10/06/2024
T0152,P-009,2.0,46.35,11/02/2024
T0153,P-017,3.0,7.55,10/24/2024
T0154,P017,6.0,$31.71,2024-10-19
T0155, P 012 ,2.0,13.91,31-10-2024
T0156, P 007 ,8.0,42.03,11/02/2024
T0157,P-002,6.0,42.49,10/20/2024
T0158, P 003 ,9.0,39.29,10/17/2024
T0159,p017,7.0,22.76,01-11-2024
T0160,p005,1.0,12.62,10/27/2024
T0161,p017,4.0,$39.59,01-11-2024
T0162,P-017,4.0,41.92,15-10-2024
T0163,p017,3.0,17.96,26-10-2024
T0164,p002,,34.2,15-10-2024
T0165,p002,8.0,12.06,10/19/2024
T0166, P 005 ,6.0,41.34,20-10-2024
T0167, P 001 ,6.0,8.35,2024-10-29
T0168,P001,5.0,,21-10-2024
T0169,p019,8.0,44.24,18-10-2024
T0170, P 002 ,,20.36,10/30/2024
T0171,P-012,7.0,41.05,2024-10-06
T0172,P006,5.0,36.76,2024-10-21
T0173,P-004,5.0,5.97,2024-10-25
T0174,P-011,4.0,37.03,16-10-2024
T0175, P 017 ,4.0,,2024-10-06
T0176,p006,9.0,44.99,2024-10-31
T0177, P 005 ,4.0,30.84,10/20/2024
T0178,p002,3.0,41.91,10/24/2024
T0179,P006,9.0,24.75,10/15/2024
T0180,p011,5.0,,11/01/2024
T0181,P-016,7.0,9.89,06-10-2024
T0182,p016,8.0,49.55,03-11-2024
T0183,P001,8.0,49.99,08-10-2024
T0184,P-009,3.0,30.01,10/20/2024
T0185,P-006,9.0,47.18,28-10-2024
T0186,p016,8.0,18.36,10/19/2024
T0187,P-003,5.0,9.17,27-10-2024
T0188, P 004 ,3.0,38.8,2024-10-30
T0189,P019,7.0,17.97,2024-11-01
T0190,P-003,2.0,$33.55,2024-10-14
T0191, P 019 ,,25.47,2024-10-09
T0192,P007,9.0,45.27,10/11/2024
T0193,P-009,8.0,9.79,2024-10-23
T0194,P001,9.0,49.46,2024-10-22
T0195,p008,8.0,$33.05,2024-10-24
T0196, P 007 ,2.0,38.14,10/08/2024
T0197,P018,8.0,38.57,11-10-2024
T0198,p008,7.0,35.99,11/02/2024
T0199,P001,9.0,49.1,07-10-2024
T0200, P 011 ,1.0,22.03,10/21/2024
T0201,P-018,7.0,26.19,10/21/2024
T0202,p010,,$18.68,2024-10-21
T0203,p003,4.0,46.01,10/21/2024
T0204,P-007,3.0,16.49,28-10-2024
T0205, P 016 ,8.0,36.75,19-10-2024
T0206,p016,,45.89,10/11/2024
T0207, P 017 ,2.0,27.36,13-10-2024
T0208, P 002 ,8.0,28.51,22-10-2024
T0209, P 001 ,8.0,39.95,2024-10-10
T0210, P 016 ,1.0,17.22,10/13/2024
T0211,P012,1.0,33.49,2024-10-30
T0212,P005,9.0,6.27,19-10-2024
T0213, P 005 ,5.0,31.33,07-10-2024
T0214,p009,9.0,47.86,2024-11-03
T0215,p009,1.0,38.89,25-10-2024
T0216,p003,6.0,42.23,10/20/2024
T0217,P-019,4.0,19.12,10/17/2024
T0218, P 016 ,6.0,22.13,19-10-2024
T0219,P016,2.0,12.94,10/15/2024
T0220, P 003 ,8.0,$25.57,09-10-2024
T0221,p001,8.0,19.01,10/15/2024
T0222,P011,2.0,22.35,10/30/2024
T0223,P017,4.0,41.46,2024-10-22
T0224,p008,3.0,9.95,2024-10-23
T0225,P004,7.0,34.44,13-10-2024
T0226,p006,7.0,,10/10/2024
T0227,P008,,19.4,10/11/2024
T0228,p003,4.0,,10/07/2024
T0229,P-016,7.0,44.68,29-10-2024
T0230,p003,7.0,38.63,2024-10-23
T0231,p018,4.0,25.0,2024-10-30
T0232,p014,6.0,$45.7,07-10-2024
T0233,P-018,2.0,15.95,10/11/2024
T0234,P-002,6.0,46.07,2024-11-03
T0235,P-003,9.0,26.79,10/14/2024
T0236,P016,5.0,22.52,31-10-2024
T0237,P-009,1.0,26.64,2024-10-24
T0238,p004,7.0,37.05,10/21/2024
T0239, P 001 ,6.0,35.38,30-10-2024
T0240,P-004,1.0,13.51,10-10-2024
T0241,P-001,1.0,15.78,11/04/2024
T0242, P 014 ,4.0,31.11,25-10-2024
T0243,p016,4.0,32.14,15-10-2024
T0244, P 008 ,7.0,36.98,2024-10-24
T0245,P-007,9.0,$15.18,2024-10-12
T0246,P-003,,6.93,2024-11-02
T0247,p017,2.0,31.5,06-10-2024
T0248, P 001 ,3.0,42.88,2024-10-17
T0249,P016,3.0,39.22,2024-10-23
T0250,p012,4.0,,07-10-2024
T0251,P019,5.0,15.31,25-10-2024
T0252,P014,1.0,34.4,13-10-2024
T0253, P 006 ,,$45.28,2024-10-29
T0254,P-006,5.0,35.55,2024-10-24
T0255,p013,1.0,43.67,10/18/2024
T0256,P-019,2.0,29.48,2024-10-07
T0257,P008,1.0,30.91,10/20/2024
T0258,P-002,9.0,29.07,2024-10-28
T0259,p001,7.0,9.62,10/15/2024
T0260,P015,8.0,23.27,2024-10-11
T0261,P-001,9.0,43.15,2024-10-23
T0262,P005,1.0,47.64,2024-10-19
T0263,P-016,6.0,17.07,10/09/2024
T0264, P 019 ,1.0,$24.18,2024-11-01
T0265,p004,3.0,37.12,12-10-2024
T0266, P 003 ,3.0,$5.3,27-10-2024
T0267,P017,7.0,10.53,10/27/2024
T0268,P-017,3.0,,2024-10-26
T0269, P 012 ,9.0,23.38,10/25/2024
T0270,P-014,8.0,15.63,11/04/2024
T0271,P006,7.0,6.03,2024-10-19
T0272,P003,7.0,13.35,10/29/2024
T0273, P 009 ,6.0,46.19,10/25/2024
T0274,p005,4.0,48.33,2024-10-23
T0275,P017,2.0,17.79,08-10-2024
T0276,p014,1.0,10.96,10/30/2024
T0277,P003,1.0,15.67,2024-10-06
T0278,P001,8.0,41.12,13-10-2024
T0279,P-001,2.0,42.52,28-10-2024
T0280, P 003 ,9.0,47.98,09-10-2024
T0281,p018,5.0,,14-10-2024
T0282,P010,,49.37,26-10-2024
T0283,p003,8.0,42.87,10/22/2024
T0284,p008,7.0,$23.54,10-10-2024
T0285,p014,6.0,45.63,24-10-2024
T0286,p018,7.0,23.36,10-10-2024
T0287,p015,5.0,28.12,10/13/2024
T0288,P002,6.0,26.49,25-10-2024
T0289, P 010 ,7.0,28.37,2024-10-29
T0290,p002,5.0,$30.99,10/13/2024
T0291,p017,8.0,22.54,10/23/2024
T0292,P-008,2.0,$16.68,2024-10-06
T0293,P-001,9.0,16.95,11/03/2024
T0294,P009,1.0,49.36,11/02/2024
T0295,P011,5.0,10.34,2024-10-10
T0296,p016,3.0,28.02,11-10-2024
T0297,P007,7.0,11.33,11/04/2024
T0298,P-010,7.0,7.79,2024-10-07
T0299,P003,1.0,15.82,12-10-2024
T0300,p018,7.0,33.38,10/13/2024
T0301,P013,2.0,14.44,2024-10-30
T0302,p007,5.0,19.86,2024-11-04
T0303,P004,,48.87,2024-10-11
T0304,p013,3.0,21.57,2024-11-03
T0305, P 001 ,2.0,,10/26/2024
T0306, P 008 ,8.0,49.35,10/24/2024
T0307,P014,5.0,29.1,2024-10-31
T0308,p016,9.0,49.52,27-10-2024
T0309,P014,7.0,14.67,24-10-2024
T0310,P-012,2.0,20.1,28-10-2024
T0311, P 019 ,3.0,$8.16,26-10-2024
T0312,p015,7.0,13.94,22-10-2024
T0313,p002,,26.35,16-10-2024
T0314,p002,1.0,43.0,2024-10-21
T0315, P 019 ,9.0,35.66,10/28/2024
T0316, P 017 ,7.0,9.25,2024-10-27
T0317, P 010 ,7.0,10.13,08-10-2024
T0318,P-006,1.0,14.77,09-10-2024
T0319,P015,8.0,9.12,2024-10-31
T0320,P011,3.0,9.61,11/04/2024
T0321, P 005 ,7.0,31.86,10/25/2024
T0322,P001,2.0,37.54,10/14/2024
T0323,p008,1.0,16.42,11/01/2024
T0324,p012,1.0,$35.8,2024-10-30
T0325,P012,,$15.51,2024-10-19
T0326,p005,1.0,45.08,11/01/2024
T0327, P 007 ,5.0,36.27,31-10-2024
T0328,p004,4.0,31.78,2024-10-14
T0329,P006,1.0,38.74,10/22/2024
T0330,p013,7.0,28.27,15-10-2024
T0331,P-015,,38.16,10/18/2024
T0332,P-003,5.0,7.9,02-11-2024
T0333,P008,5.0,47.59,2024-10-15
T0334,P016,3.0,$42.6,2024-10-25
T0335, P 013 ,9.0,27.56,10/21/2024
T0336, P 018 ,2.0,31.47,10/29/2024
T0337,P010,1.0,18.73,11/01/2024
T0338, P 019 ,2.0,,09-10-2024
T0339, P 017 ,1.0,33.88,10/30/2024
T0340,p019,5.0,45.74,10/11/2024
T0341,P005,5.0,47.46,10/26/2024
T0342,P009,6.0,14.16,29-10-2024
T0343,p012,3.0,16.17,11/02/2024
T0344, P 001 ,,47.9,21-10-2024
T0345,P001,1.0,47.94,10/09/2024
T0346, P 015 ,8.0,31.95,10/15/2024
T0347,P-002,5.0,7.78,2024-10-11
T0348, P 016 ,5.0,17.36,20-10-2024
T0349,P-008,1.0,,15-10-2024
T0350, P 013 ,3.0,,02-11-2024
T0351,P001,,49.6,10/12/2024
T0352, P 016 ,3.0,48.16,13-10-2024
T0353,p007,9.0,36.02,24-10-2024
T0354,p005,1.0,15.24,2024-10-31
T0355,P-003,9.0,44.63,31-10-2024
T0356, P 012 ,3.0,,2024-11-04
T0357,P016,,11.53,12-10-2024
T0358,p019,9.0,30.35,30-10-2024
T0359, P 005 ,4.0,,2024-10-21
T0360,P014,4.0,$15.56,2024-10-15
T0361,P005,9.0,,23-10-2024
T0362,P015,8.0,36.2,2024-10-29
T0363, P 017 ,4.0,18.37,2024-10-18
T0364, P 014 ,1.0,31.1,17-10-2024
T0365, P 005 ,7.0,20.66,2024-10-11
T0366,p012,8.0,38.82,15-10-2024
T0367,P-016,3.0,22.52,2024-10-30
T0368,P-016,2.0,$24.17,28-10-2024
T0369,P007,6.0,30.8,2024-10-06
T0370,P-004,,25.71,02-11-2024
T0371, P 001 ,9.0,41.54,2024-10-19
T0372,P005,3.0,33.87,10/22/2024
T0373, P 010 ,6.0,42.48,10/07/2024
T0374,p005,3.0,37.81,2024-10-16
T0375,P-004,6.0,31.39,2024-10-22
T0376, P 002 ,3.0,44.28,03-11-2024
T0377,P-010,8.0,32.29,11-10-2024
T0378,p019,3.0,23.26,2024-11-01
T0379,P001,6.0,45.43,2024-10-27
T0380,P-005,9.0,48.74,2024-10-13
T0381,P013,3.0,27.88,10/20/2024
T0382,P-004,7.0,39.24,2024-10-13
T0383,P016,8.0,25.92,04-11-2024
T0384,P-016,6.0,,03-11-2024
T0385, P 002 ,5.0,11.83,10/13/2024
T0386,P017,2.0,23.44,24-10-2024
T0387, P 012 ,3.0,,10/20/2024
T0388, P 018 ,5.0,17.81,2024-10-15
T0389, P 003 ,5.0,22.65,13-10-2024
T0390, P 001 ,9.0,31.54,2024-10-21
T0391, P 001 ,7.0,28.55,10/17/2024
T0392,P019,3.0,46.3,2024-10-12
T0393, P 011 ,6.0,14.12,10/16/2024
T0394, P 005 ,9.0,40.9,10/12/2024
T0395,p012,4.0,47.78,30-10-2024
T0396, P 003 ,3.0,17.33,2024-10-11
T0397,P-001,8.0,18.12,10/14/2024
T0398,P001,3.0,39.98,16-10-2024
T0399,p008,,10.22,10/17/2024
T0400, P 010 ,2.0,8.82,21-10-2024
T0401,P011,5.0,,2024-10-06
T0402,p012,7.0,39.13,2024-11-01
T0403, P 013 ,8.0,30.32,20-10-2024
T0404,P-012,4.0,26.75,2024-10-25
T0405,P-014,1.0,47.58,10/29/2024
T0406, P 002 ,6.0,12.53,12-10-2024
T0407,P019,,$41.4,2024-11-03
T0408,P-018,,29.78,10/11/2024
T0409,P-003,9.0,30.83,2024-10-29
T0410,P017,4.0,27.43,2024-10-13
T0411, P 008 ,4.0,6.48,2024-10-07
T0412, P 010 ,2.0,,2024-10-24
T0413,p002,,42.59,2024-10-10
T0414,P-019,6.0,10.28,10/22/2024
T0415,P-009,4.0,33.02,2024-10-21
T0416,P007,1.0,$17.29,2024-10-16
T0417, P 004 ,8.0,32.52,10/29/2024
T0418,p018,2.0,$45.01,10/18/2024
T0419,p013,1.0,30.87,25-10-2024
T0420, P 011 ,4.0,25.98,2024-10-26
T0421,p004,6.0,42.73,10/22/2024
T0422,p004,1.0,42.38,06-10-2024
T0423, P 010 ,4.0,$36.48,02-11-2024
T0424,P-005,8.0,41.33,10/18/2024
T0425,P009,8.0,$20.53,24-10-2024
T0426,P003,4.0,48.28,15-10-2024
T0427,P-017,6.0,30.82,04-11-2024
T0428,P-003,5.0,$17.43,2024-10-06
T0429,P016,,15.63,2024-10-23
T0430,P-004,6.0,42.67,11/03/2024
T0431,P018,2.0,$26.63,21-10-2024
T0432,P-017,8.0,24.06,25-10-2024
T0433,P007,1.0,$36.62,30-10-2024
T0434, P 005 ,9.0,15.09,2024-10-30
T0435,P-012,5.0,22.22,10/08/2024
T0436,P-017,6.0,42.66,10/12/2024
T0437, P 013 ,4.0,42.28,10/11/2024
T0438, P 003 ,9.0,44.07,10/11/2024
T0439,P009,3.0,$24.24,10/13/2024
T0440,P017,4.0,28.88,10/24/2024
T0441,P017,9.0,31.55,20-10-2024
T0442,P016,3.0,36.3,20-10-2024
T0443,P013,8.0,14.88,10/26/2024
T0444, P 019 ,1.0,33.0,19-10-2024
T0445,P-017,5.0,43.24,10/16/2024
T0446,P-004,6.0,,2024-10-13
T0447,p012,1.0,14.08,11/03/2024
T0448,P009,7.0,14.81,10/08/2024
T0449, P 019 ,6.0,49.36,11-10-2024
T0450,P-012,8.0,6.63,2024-10-23
T0451,P009,3.0,29.23,19-10-2024
T0452,p007,2.0,33.95,27-10-2024
T0453,p014,7.0,27.48,21-10-2024
T0454,P019,8.0,12.46,10/29/2024
T0455,p015,8.0,10.66,10/23/2024
T0456,p016,3.0,,2024-10-26
T0457,P005,2.0,48.39,2024-10-14
T0458,p003,1.0,6.01,10/06/2024
T0459,P012,9.0,14.25,2024-10-08
T0460,P-004,1.0,42.52,13-10-2024
T0461, P 016 ,7.0,41.73,10/18/2024
T0462, P 007 ,8.0,20.99,26-10-2024
T0463,P-013,2.0,36.75,2024-10-08
T0464,P010,5.0,9.22,18-10-2024
T0465,P-007,7.0,18.09,2024-10-22
T0466,p014,8.0,26.8,17-10-2024
T0467,P-005,9.0,20.89,14-10-2024
T0468, P 003 ,6.0,5.65,2024-11-04
T0469,P-011,8.0,20.82,2024-10-09
T0470,P-011,3.0,42.27,01-11-2024
T0471, P 018 ,3.0,21.55,12-10-2024
T0472,p015,1.0,45.21,2024-10-12
T0473, P 012 ,1.0,33.22,10/22/2024
T0474, P 009 ,1.0,10.27,31-10-2024
T0475,p010,5.0,49.88,2024-10-13
T0476, P 012 ,9.0,33.3,10/31/2024
T0477,P-017,4.0,26.72,10/16/2024
T0478,P-006,7.0,14.75,14-10-2024
T0479,P-007,3.0,19.99,2024-10-22
T0480,P-014,6.0,19.97,10/28/2024
T0481,p013,,46.15,24-10-2024
T0482,P-008,7.0,$16.55,10/10/2024
T0483,p010,,$15.23,19-10-2024
T0484,P009,9.0,$38.91,02-11-2024
T0485,P018,5.0,32.88,11/01/2024
T0486, P 002 ,4.0,$30.08,10/31/2024
T0487,P005,,31.73,11/04/2024
T0488,p005,9.0,36.28,11-10-2024
T0489,P006,6.0,34.03,2024-10-12
T0490, P 019 ,6.0,49.04,2024-11-03
T0491,p008,6.0,24.13,31-10-2024
T0492, P 016 ,6.0,38.54,2024-10-11
T0493,P013,,,07-10-2024
T0494, P 001 ,9.0,48.62,2024-10-17
T0495,P017,2.0,$42.13,2024-10-31
T0496, P 007 ,4.0,38.59,10/11/2024
T0497,P-013,8.0,19.23,2024-10-14
T0498,P004,6.0,46.11,2024-10-23
T0499, P 004 ,8.0,21.24,31-10-2024
T0500,P006,9.0,46.58,10/28/2024
T0501,P-019,,39.49,2024-10-06
T0502,p012,2.0,27.65,2024-10-15
T0503,P007,5.0,18.12,10/27/2024
T0504,p010,4.0,6.59,10/21/2024
T0505,P-019,4.0,13.97,2024-10-09
T0506,P-007,3.0,26.21,10/07/2024
T0507,P-003,5.0,15.58,02-11-2024
T0508,P-013,7.0,20.09,2024-11-04
T0509,P-013,5.0,18.1,10/16/2024
T0510, P 018 ,1.0,24.83,10/29/2024
T0511,p008,6.0,17.76,10/23/2024
T0512,P009,,19.45,11/02/2024
T0513,p007,3.0,$47.51,10/07/2024
T0514,p001,2.0,49.32,10/26/2024
T0515, P 003 ,3.0,31.93,12-10-2024
T0516,p013,9.0,32.01,18-10-2024
T0517,P-017,3.0,24.98,10/20/2024
T0518, P 001 ,1.0,$44.45,10/27/2024
T0519, P 006 ,4.0,,21-10-2024
T0520, P 006 ,8.0,17.37,22-10-2024
T0521,P-012,4.0,24.78,17-10-2024
T0522,P-013,5.0,23.72,10/09/2024
T0523,P-013,5.0,17.41,2024-10-06
T0524, P 015 ,6.0,36.23,2024-10-30
T0525,p016,7.0,23.05,10/29/2024
T0526,P011,8.0,$48.44,10/31/2024
T0527,P-005,,37.27,10/10/2024
T0528,P004,1.0,$21.16,10/23/2024
T0529,P-003,6.0,22.28,2024-10-31
T0530,P019,2.0,17.34,2024-10-22
T0531,p018,3.0,25.16,2024-11-04
T0532, P 015 ,2.0,40.95,16-10-2024
T0533,p009,1.0,,2024-11-04
T0534, P 017 ,4.0,7.44,10/27/2024
T0535, P 014 ,2.0,32.63,27-10-2024
T0536,P-015,4.0,30.14,10/21/2024
T0537,p001,7.0,28.38,2024-10-31
T0538,P003,6.0,18.03,15-10-2024
T0539,p016,,26.61,07-10-2024
T0540, P 011 ,9.0,$9.39,15-10-2024
T0541,P-012,4.0,32.0,2024-10-29
T0542,P010,3.0,39.04,14-10-2024
T0543,p016,1.0,45.05,03-11-2024
T0544,P008,9.0,8.96,10/25/2024
T0545,p006,9.0,36.51,10/26/2024
T0546,P-012,3.0,,10/17/2024
T0547,P-008,4.0,19.06,2024-10-31
T0548,P-004,7.0,$33.48,2024-10-13
T0549,P-008,2.0,6.29,2024-10-21
T0550, P 018 ,5.0,,03-11-2024
T0551,P-005,6.0,26.04,2024-10-25
T0552, P 009 ,8.0,$39.95,01-11-2024
T0553,P-004,,49.91,19-10-2024
T0554,P017,2.0,,13-10-2024
T0555,P-009,2.0,9.66,10/09/2024
T0556, P 001 ,1.0,$16.27,10/06/2024
T0557, P 013 ,5.0,10.8,11/03/2024
T0558,P016,4.0,8.66,12-10-2024
T0559,P-013,5.0,28.71,2024-10-26
T0560, P 014 ,1.0,34.73,2024-10-08
T0561, P 003 ,4.0,48.83,25-10-2024
T0562, P 006 ,2.0,25.21,11/04/2024
T0563,p018,7.0,31.01,18-10-2024
T0564,P-019,6.0,11.35,2024-10-12
T0565,P005,2.0,15.98,31-10-2024
T0566,p015,3.0,17.44,06-10-2024
T0567,P-002,5.0,20.56,2024-10-31
T0568,p010,3.0,14.52,10/09/2024
T0569, P 018 ,5.0,29.28,13-10-2024
T0570, P 013 ,6.0,13.97,2024-10-06
T0571,P-005,6.0,40.1,11/01/2024
T0572,P-001,8.0,48.85,2024-10-27
T0573,P001,2.0,20.36,17-10-2024
T0574, P 018 ,2.0,6.78,10/12/2024
T0575, P 015 ,7.0,35.75,02-11-2024
T0576,p017,5.0,13.19,2024-10-21
T0577,P-011,8.0,18.97,12-10-2024
T0578, P 017 ,9.0,11.75,22-10-2024
T0579, P 013 ,8.0,22.69,04-11-2024
T0580, P 001 ,2.0,$30.31,26-10-2024
T0581,P002,9.0,39.23,2024-10-23
T0582,p009,2.0,5.1,2024-10-10
T0583,p003,4.0,10.3,2024-10-13
T0584, P 001 ,8.0,48.28,10/24/2024
T0585,p016,8.0,43.31,04-11-2024
T0586,p006,7.0,17.68,03-11-2024
T0587,p017,1.0,$25.91,2024-10-09
T0588,P005,5.0,,2024-10-25
T0589, P 005 ,6.0,,10/24/2024
T0590,P006,8.0,27.94,2024-10-08
T0591,p003,5.0,$42.21,2024-11-04
T0592, P 005 ,3.0,30.63,10/26/2024
T0593, P 005 ,5.0,32.32,11/02/2024
T0594,P010,3.0,8.31,27-10-2024
T0595,P-010,6.0,13.65,10/19/2024
T0596,P019,4.0,6.45,17-10-2024
T0597, P 017 ,3.0,$36.46,10/18/2024
T0598,P-014,2.0,,31-10-2024
T0599,P-009,7.0,22.34,2024-10-08
T0600,p014,,14.81,10/29/2024
T0601,P-001,3.0,,21-10-2024
T0602,P019,3.0,43.34,10/30/2024
T0603,p013,1.0,42.18,10-10-2024
T0604, P 013 ,2.0,33.84,10/31/2024
T0605,P004,6.0,42.76,10/07/2024
T0606, P 001 ,7.0,,10/17/2024
T0607,P017,,$33.94,10/23/2024
T0608,p008,5.0,23.43,29-10-2024
T0609,p002,1.0,5.86,2024-10-08
T0610, P 008 ,,46.76,11-10-2024
T0611,P-007,5.0,47.64,11/03/2024
T0612,P002,3.0,31.52,30-10-2024
T0613,p003,5.0,9.06,21-10-2024
T0614, P 018 ,4.0,35.05,08-10-2024
